Albania,94.81,91.53,66.72,67.43,87.02,69.18,78.21,58.12,61.55,65.97,49.47,39.58
Algeria,91.00,87.04,68.57,58.38,87.15,50.63,79.65,39.56,20.97,59.91,40.94,25.79
Angola,53.94,43.05,28.09,41.59,53.22,33.12,66.60,32.56,21.84,52.26,37.22,15.67
Argentina,94.62,95.65,60.75,60.07,94.53,69.54,70.56,47.83,66.55,73.61,64.53,48.83
Armenia,92.39,94.71,62.92,63.66,93.45,64.37,59.36,59.91,41.78,57.30,39.30,51.20
Australia,98.28,99.94,84.12,87.53,96.80,83.36,81.79,59.14,97.60,90.56,78.70,75.32
Austria,98.21,100.00,88.38,91.67,96.56,94.10,79.98,74.76,87.96,83.20,66.45,60.09
Azerbaijan,91.43,68.56,77.50,67.29,93.26,63.46,68.04,49.61,28.21,55.42,39.69,46.85
Bangladesh,72.55,56.57,42.91,57.08,71.65,35.40,76.58,53.97,51.40,61.66,30.13,14.56
Belarus,97.93,94.76,74.99,68.84,96.78,61.19,56.56,54.87,15.15,61.83,49.08,50.46
Belgium,98.26,100.00,86.11,86.60,98.40,88.83,77.85,50.16,85.56,81.99,70.24,67.56
Benin,72.09,36.68,31.47,50.79,50.50,47.60,72.35,58.51,52.05,58.85,49.26,9.17
Bolivia,77.11,61.55,53.78,61.31,86.22,59.44,78.25,61.75,54.18,72.45,54.47,34.31
Bosnia and Herzegovina,97.30,92.32,72.76,75.69,90.21,68.10,63.54,32.29,46.23,61.80,37.17,42.51
Botswana,70.02,74.92,51.54,67.05,84.49,61.37,69.17,75.66,71.14,74.37,59.34,28.16
Brazil,92.02,81.64,73.20,37.50,95.43,67.69,76.05,63.94,74.94,77.32,61.77,38.09
Bulgaria,94.95,98.66,62.83,71.58,93.67,69.33,60.63,63.25,62.40,64.01,50.09,51.42
Burkina Faso,61.24,31.04,18.43,49.93,40.17,44.98,73.28,65.88,61.77,58.27,54.41,8.53
Burundi,27.58,50.39,10.96,42.43,61.30,19.63,68.59,34.70,39.38,50.10,33.18,9.73
Cambodia,76.91,35.58,28.96,48.30,70.45,48.17,77.88,71.07,43.53,63.79,40.02,17.99
Cameroon,60.52,30.84,39.15,46.03,68.37,39.94,66.06,40.56,25.43,60.37,49.80,19.01
Canada,98.10,95.76,88.64,91.58,98.00,83.23,80.78,59.21,87.96,91.14,86.79,82.21
Central African Republic,47.06,23.61,9.61,29.41,35.90,26.64,64.78,62.20,15.32,54.91,31.17,9.40
Chad,39.29,26.11,6.38,31.97,28.01,29.94,69.04,42.70,35.82,40.98,35.78,5.21
Chile,94.85,92.19,76.37,71.99,94.91,71.28,74.74,51.06,89.85,80.17,65.76,52.45
China,91.01,70.99,72.75,57.34,94.87,41.78,72.74,45.74,4.80,68.59,38.62,44.81
Colombia,90.61,72.18,76.88,38.56,89.63,61.84,79.21,72.18,58.60,75.13,51.41,40.67
Congo. Republic of,54.02,10.00,26.20,46.51,72.25,53.67,65.67,65.92,43.91,62.44,48.91,26.44
Costa Rica,95.16,91.03,78.83,65.63,93.52,78.12,81.71,68.79,82.83,82.71,71.19,43.41
Croatia,96.46,93.94,81.95,80.28,94.79,71.77,71.31,69.63,68.22,65.18,43.66,42.46
Cuba,97.04,84.37,67.62,79.38,95.92,13.25,73.84,49.42,2.40,60.71,64.63,44.19
Czech Republic,90.88,98.44,85.66,92.08,97.19,86.66,73.21,76.00,75.41,74.46,61.14,53.83
Denmark,98.53,100.00,91.81,92.56,98.41,97.83,78.84,64.19,87.96,90.76,76.64,61.02
Djibouti,67.96,55.75,54.08,61.50,52.77,16.91,63.88,31.80,31.32,60.70,46.31,8.39
Dominican Republic,85.06,83.61,61.55,32.90,86.32,61.55,74.33,63.32,44.30,72.94,56.23,34.25
Ecuador,85.27,84.65,74.81,47.18,92.32,63.12,79.89,68.54,56.58,74.47,52.23,38.78
Egypt,92.30,96.39,61.12,57.25,84.33,60.31,69.77,61.50,28.21,57.07,24.67,26.72
El Salvador,88.02,73.59,76.56,37.73,83.86,65.71,75.28,43.97,72.54,72.66,58.42,28.05
Estonia,97.61,95.04,76.84,79.02,98.18,93.48,76.38,69.50,97.60,79.46,51.48,60.74
Finland,98.74,99.83,90.66,89.29,99.25,97.21,78.60,61.63,87.96,93.10,78.74,67.89
France,98.03,100.00,86.89,79.99,99.21,82.64,80.48,55.16,80.39,84.29,62.03,64.18
Georgia,80.65,88.89,61.81,69.11,94.91,66.34,63.32,45.98,48.45,66.11,30.16,51.55
Germany,98.68,100.00,85.44,88.19,97.38,89.45,79.70,73.30,80.21,86.69,68.47,67.85
Ghana,75.78,39.10,42.19,52.50,71.35,63.11,73.92,54.13,78.37,59.76,43.71,17.57
Greece,98.36,99.04,76.74,73.83,97.77,69.60,78.65,53.37,64.80,61.44,46.13,61.44
Guatemala,78.77,82.47,65.19,39.59,76.88,57.18,78.00,59.73,65.52,70.94,45.28,16.92
Guinea,62.19,30.63,12.10,41.02,40.76,32.02,68.47,38.85,31.63,48.67,36.43,6.17
Guyana,85.01,81.32,57.78,49.84,87.96,51.38,62.95,31.14,60.50,62.41,53.83,36.64
Honduras,87.10,79.85,52.80,33.94,85.16,49.73,75.55,71.85,50.38,69.24,53.46,26.29
Hungary,97.55,98.35,70.32,78.73,96.63,74.56,65.97,50.48,73.02,69.89,56.98,53.94
Iceland,98.78,100.00,85.05,93.45,98.65,98.82,81.62,73.65,87.96,87.59,88.44,62.84
India,75.69,51.85,39.77,50.64,77.80,39.87,68.98,40.72,54.27,54.52,21.54,27.24
Indonesia,84.77,52.19,64.33,53.31,90.11,51.40,77.99,58.18,49.47,63.09,29.56,33.31
Iran,92.55,93.46,71.90,53.15,90.98,35.06,72.85,34.53,5.82,59.57,31.81,38.08
Iraq,81.39,70.23,70.16,21.52,68.19,42.32,68.18,6.74,19.29,46.59,21.34,22.17
Ireland,98.34,99.37,88.61,88.19,99.37,87.90,81.04,35.26,87.96,87.68,84.46,70.44
Israel,98.29,100.00,77.88,66.88,98.36,74.99,77.67,35.28,48.17,72.78,33.72,72.82
Italy,98.52,99.93,80.65,67.83,98.02,70.22,83.17,58.50,78.37,68.46,62.13,57.37
Jamaica,88.95,79.46,70.28,38.22,91.49,82.07,77.23,54.58,82.18,75.08,59.90,45.25
Japan,97.28,99.53,89.74,92.33,99.75,76.75,83.26,57.24,95.20,80.40,61.32,77.74
Jordan,92.02,92.46,74.97,65.79,93.82,59.36,67.84,23.60,28.16,66.42,38.32,40.26
Kazakhstan,95.15,80.90,64.41,60.09,92.34,57.60,49.93,19.32,30.61,61.28,48.82,53.16
Kenya,64.30,34.87,41.47,42.57,74.13,51.95,73.98,65.48,32.28,61.27,34.27,25.83
Korea. Republic of,98.11,90.75,80.81,85.09,97.65,83.90,77.96,45.53,66.82,77.19,57.28,65.05
Kuwait,96.52,97.70,76.39,79.64,94.62,76.79,73.44,47.59,36.94,72.31,63.43,32.62
Kyrgyzstan,91.07,77.42,42.74,46.45,91.92,58.96,65.72,25.57,39.38,61.24,37.33,47.10
Laos,68.26,52.20,47.40,68.20,69.60,31.87,74.87,69.98,13.95,60.23,54.28,18.14
Latvia,96.50,84.97,76.90,72.69,97.52,80.77,59.97,78.16,67.19,70.06,49.67,52.49
Lebanon,95.06,98.82,51.03,52.48,87.08,64.42,72.60,21.03,39.38,65.21,31.21,42.29
Lesotho,57.19,40.56,24.09,50.85,71.22,44.88,64.80,23.38,62.90,65.27,53.40,28.69
Liberia,54.36,26.29,13.36,53.07,42.36,38.18,74.45,40.98,61.55,59.99,52.24,11.37
Lithuania,97.62,81.91,74.73,71.63,97.71,78.90,62.18,73.05,73.02,68.35,50.06,55.95
Macedonia,96.28,93.47,64.98,72.75,89.24,71.82,70.45,40.09,67.92,67.15,41.92,43.92
Madagascar,68.31,16.07,22.44,52.11,68.05,31.35,76.24,31.95,41.60,58.33,44.15,20.73
Malawi,60.65,48.85,19.51,50.68,62.80,28.46,64.25,67.08,62.57,61.68,41.44,17.52
Malaysia,94.78,96.69,84.48,69.14,87.25,67.06,80.22,69.71,33.81,69.38,37.33,50.19
Mali,64.58,25.28,26.17,66.89,48.55,52.31,73.69,36.34,59.37,52.85,47.37,8.85
Mauritania,69.22,49.60,32.20,46.71,49.74,53.88,70.38,42.12,27.52,17.62,48.00,10.36
Mauritius,93.34,96.55,78.40,77.28,95.10,65.06,76.73,48.82,72.32,82.39,62.87,35.24
Mexico,95.50,87.86,78.73,34.61,91.19,52.65,75.08,50.57,71.52,71.53,44.50,43.14
Moldova,89.16,77.94,57.49,65.99,87.02,65.68,58.00,27.95,48.45,56.62,38.48,48.62
Mongolia,82.01,31.24,36.39,65.05,97.20,57.31,65.74,34.43,73.57,66.90,55.33,42.44
Montenegro,97.27,91.21,58.66,68.52,96.05,69.86,68.01,42.11,61.37,60.61,39.40,48.54
Morocco,87.74,54.56,76.18,68.95,76.68,63.71,75.37,34.54,41.60,64.82,37.61,14.37
Mozambique,51.37,17.36,34.36,61.68,54.21,31.10,60.40,53.73,45.20,54.33,60.07,18.96
Namibia,69.01,55.66,55.86,55.52,77.54,65.63,71.34,61.90,70.15,70.25,54.84,26.61
Nepal,77.14,51.84,34.90,64.64,79.19,41.35,73.79,46.15,47.80,54.21,38.28,9.68
Netherlands,98.16,100.00,88.92,88.56,99.26,97.83,81.29,71.85,87.96,89.44,75.45,69.67
New Zealand,97.57,100.00,83.23,86.13,99.49,96.74,77.81,65.84,98.80,94.00,82.41,76.84
Nicaragua,84.21,54.40,53.99,60.62,81.16,51.49,77.21,73.80,46.78,72.00,63.56,28.74
Niger,64.19,4.75,16.43,49.59,30.77,33.92,77.27,53.54,40.88,58.04,44.47,7.39
Nigeria,57.41,31.12,34.20,23.57,51.08,50.64,67.68,62.91,32.28,50.50,32.99,17.39
Norway,98.71,100.00,82.93,92.75,99.44,98.45,81.60,68.26,87.96,93.27,74.50,67.57
Pakistan,63.07,59.20,37.88,44.80,50.84,32.46,69.29,38.43,35.56,38.80,25.35,13.15
Panama,90.08,80.84,78.97,59.69,90.42,66.25,80.28,74.47,70.15,71.85,60.79,47.14
Paraguay,80.07,59.29,59.24,55.04,82.46,60.62,78.36,44.16,66.72,71.26,62.86,31.78
Peru,89.33,67.72,69.82,47.99,91.58,63.36,81.55,55.28,64.80,71.88,50.53,41.62
Philippines,83.13,74.14,58.94,50.84,88.96,57.88,77.51,52.35,61.55,73.90,56.43,54.64
Poland,98.18,95.07,62.93,82.71,97.37,83.55,70.96,72.51,80.76,78.47,54.05,52.70
Portugal,98.16,99.89,80.77,84.92,98.66,77.66,75.93,52.20,92.80,82.45,73.06,49.41
Romania,96.90,65.09,57.21,75.63,93.49,73.32,68.40,62.96,64.80,70.19,37.12,47.52
Rwanda,66.57,50.72,34.96,48.33,67.90,25.69,74.73,63.71,33.89,67.01,42.35,17.67
Saudi Arabia,95.15,90.40,82.01,64.93,94.07,57.82,70.54,56.94,9.60,57.02,50.78,43.34
Senegal,66.92,45.43,39.84,64.25,52.28,52.35,74.83,74.73,59.62,55.21,48.26,8.53
Serbia,96.51,94.63,63.74,72.56,94.24,67.15,67.99,79.03,54.45,62.74,47.06,47.24
Slovakia,96.76,98.15,83.24,83.83,96.63,88.21,73.79,74.38,78.37,67.44,56.15,50.20
Slovenia,98.28,99.64,78.90,91.39,97.64,79.53,75.65,81.59,80.76,82.07,63.53,50.83
South Africa,75.90,69.80,64.20,30.90,92.85,70.52,62.36,44.21,74.94,70.82,58.35,40.66
Spain,98.16,99.75,82.50,80.45,99.37,80.15,80.83,47.26,83.16,77.32,72.70,67.58
Sri Lanka,82.36,72.11,61.21,60.52,95.67,43.76,74.62,55.04,26.79,70.65,30.68,43.10
Sudan,55.11,41.95,34.77,37.25,58.84,32.90,69.68,24.87,20.32,34.05,31.12,20.50
Swaziland,61.03,50.22,35.68,54.10,77.11,40.81,60.29,33.99,19.94,70.25,55.58,27.39
Sweden,98.26,100.00,86.74,93.35,98.16,98.14,82.15,60.42,87.96,93.08,78.13,68.63
Switzerland,98.33,99.92,88.48,92.75,94.81,95.41,82.78,86.13,87.96,93.19,74.25,64.30
Tajikistan,74.64,61.24,56.47,58.37,88.90,44.58,75.20,34.83,41.13,54.81,41.10,41.36
Tanzania,57.71,21.99,24.13,51.35,63.56,38.18,70.04,57.31,49.33,55.06,43.10,20.92
Thailand,93.53,81.78,76.38,44.70,93.18,54.86,77.98,61.89,49.51,69.71,36.28,41.87
Togo,68.16,11.33,28.36,54.84,56.31,35.67,74.08,49.05,32.28,50.69,41.04,11.81
Trinidad and Tobago,90.98,87.67,78.95,40.16,95.46,76.27,70.64,43.56,74.94,72.57,65.90,41.50
Tunisia,93.31,82.67,72.49,62.41,91.07,59.50,78.47,38.02,51.02,64.30,36.01,26.24
Turkey,94.45,95.90,79.86,58.18,91.49,57.61,67.82,40.52,56.02,64.60,32.41,36.62
Uganda,60.83,38.08,29.74,44.13,59.40,37.27,69.20,78.13,40.96,52.27,43.52,19.44
United Arab Emirates,96.40,92.77,83.91,81.41,92.78,78.60,77.50,58.05,21.79,74.96,68.83,47.99
United Kingdom,97.76,99.88,86.55,83.41,97.81,84.81,77.54,57.72,97.60,87.47,70.75,73.35
United States,97.82,95.77,87.99,77.70,95.10,81.33,73.61,53.78,82.28,84.29,74.22,89.37
Uruguay,94.81,97.95,78.39,72.01,95.05,74.90,71.98,46.81,92.80,85.19,78.33,41.91
Uzbekistan,92.01,73.93,73.81,63.76,94.29,42.11,68.36,8.34,11.35,61.69,48.37,50.07
Venezuela,92.89,81.20,60.26,27.55,91.16,65.89,74.44,68.58,36.49,66.89,61.45,38.62
Yemen,70.27,50.76,28.93,44.04,58.01,31.67,72.37,29.46,15.79,54.82,21.89,4.72
Zambia,49.33,33.23,23.05,48.67,79.52,47.45,64.63,63.09,53.80,62.94,49.18,23.73
Russia,94.55,80.55,68.88,44.61,91.58,63.17,51.99,47.88,19.77,57.23,33.96,75.35
Ukraine,95.11,88.05,71.27,57.48,97.64,57.09,51.82,39.13,55.55,61.33,41.51,62.93
